Date,Adj Close,Close,High,Low,Open,Volume
2018-01-01,37.97238540649414,66.5,66.5,66.5,66.5,0
2018-01-02,37.97238540649414,66.5,66.5,66.5,66.5,0
2018-01-03,37.97238540649414,66.5,66.5,66.5,66.5,2000
2018-01-04,38.25788497924805,67.0,71.80000305175781,67.0,68.5,24501
2018-01-05,38.25788497924805,67.0,69.0,69.0,69.0,18
2018-01-08,38.25788497924805,67.0,70.0,67.5999984741211,67.5999984741211,39
2018-01-09,38.82890319824219,68.0,69.9000015258789,67.30000305175781,69.9000015258789,878
2018-01-10,39.00020980834961,68.30000305175781,68.5999984741211,68.0,68.5,4974
2018-01-11,39.00020980834961,68.30000305175781,68.30000305175781,68.30000305175781,68.30000305175781,0
2018-01-12,39.39992141723633,69.0,69.0,69.0,69.0,100
2018-01-15,39.39992141723633,69.0,69.0,69.0,69.0,0
2018-01-16,39.39992141723633,69.0,69.0,69.0,69.0,5049
2018-01-17,39.39992141723633,69.0,69.0,69.0,69.0,1000
2018-01-18,38.82890319824219,68.0,69.0,67.0999984741211,68.5,6660
2018-01-19,38.25788497924805,67.0,68.0,67.0,67.0999984741211,14760
2018-01-22,38.25788497924805,67.0,67.0999984741211,67.0,67.0999984741211,1257
2018-01-23,39.114402770996094,68.5,68.5,68.5,68.5,175
2018-01-24,39.114402770996094,68.5,68.5,68.5,68.5,0
2018-01-25,39.114402770996094,68.5,68.5,68.5,68.5,0
2018-01-26,38.25788497924805,67.0,67.0,66.9000015258789,67.0,4234
2018-01-29,38.25788497924805,67.0,67.0,66.9000015258789,66.9000015258789,4366
2018-01-30,38.25788497924805,67.0,69.0,67.0,67.0,4001
2018-01-31,38.25788497924805,67.0,67.0,67.0,67.0,0
2018-02-01,38.25788497924805,67.0,68.5,68.5,68.5,8
2018-02-02,38.9431037902832,68.19999694824219,68.5,68.0,68.5,515
2018-02-05,38.9431037902832,68.19999694824219,68.19999694824219,68.19999694824219,68.19999694824219,0
2018-02-06,38.31499099731445,67.0999984741211,68.5,67.0,68.5,6660
2018-02-07,38.37208938598633,67.19999694824219,67.19999694824219,67.19999694824219,67.19999694824219,206
2018-02-08,38.82890319824219,68.0,68.0,67.0,67.19999694824219,10275
2018-02-09,39.114402770996094,68.5,68.5,68.5,68.5,100
2018-02-12,39.114402770996094,68.5,68.5,68.0,68.5,22
2018-02-13,39.114402770996094,68.5,68.5,68.5,68.5,0
2018-02-14,39.114402770996094,68.5,68.5,68.5,68.5,0
