Date,JKH-N0000.CM,COMB-N0000.CM,HNB-N0000.CM,SAMP-N0000.CM,CCS-N0000.CM,AAF-N0000.CM,AAIC-N0000.CM,AHPL-N0000.CM,AFSL-N0000.CM,ALLI-N0000.CM,AEL-N0000.CM,CALF-N0000.CM,Portfolio Return,Portfolio Value,Running Max,Drawdown
2018-01-02,0.0101007195710636,0.0162000890344335,0.0,0.0072854571102094,0.0001052226449143,0.0714285714285714,-0.0142855966731612,-0.001893869274143,0.0,0.0,0.0,0.0,0.0085431560098049,100854.31560098052,100854.31560098052,0.0
2018-01-03,0.0366663581015829,-0.0007245697097637,0.0040162065758977,0.0308175867416069,0.0,0.0,0.0241544789089624,0.0246678301228202,0.0606060554561025,0.0,0.0,0.0,0.0167364174188699,102542.25552537297,102542.25552537297,0.0
2018-01-04,0.0032157489090709,0.0152284795483339,0.0019998321072072,-0.0024403700447664,0.0,-0.0666666666666666,0.0,0.0055555088053782,-0.0612244963362149,0.0075186104243289,-0.0085106272126458,0.0,-0.0066985999423884,101855.36597841834,102542.25552537297,-0.006698599942388264
2018-01-05,0.0256411033579184,0.0035711844136228,0.0175650933125053,0.0033637535153361,0.0,0.0,-0.0094339736153558,0.0441989988383517,0.0608695607646732,0.0,0.0171674688960936,0.0,0.0140627248081638,103287.72996040764,103287.72996040764,0.0
2018-01-08,0.0312501908556737,0.0035589311837804,0.0003922029088694,0.0027429419298599,0.0,0.0,0.0523808810421908,0.0017636030911669,0.0,0.0,0.0084386991313758,0.0,0.0100697921309027,104327.81593078176,104327.81593078176,0.0
2018-01-09,-0.006666895280503,0.0070922577138203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0149255040968383,-0.0083680833933135,-0.0434782321485055,-0.001178030701311,104204.91456061456,104327.81593078176,-0.0011780307013110965
2018-01-10,0.0006102453520959,-0.0021128375284723,-0.007843133954084,-0.0048630817636292,0.0,0.0,-0.0226242710331523,-0.0176055110252657,0.0,0.0044118323207023,-0.0168777211433287,0.0,-0.0049686576026947,103687.1560196448,104327.81593078176,-0.0061408350728056615
2018-01-11,-0.0091463678332933,0.0035287916519561,0.0158102699734199,-0.0027490221166163,0.0,0.0714285714285714,-0.0046296347932291,0.0,-0.016393407015267,0.0,0.008583679710777,0.0,0.004924838458277,104197.79851323972,104327.81593078176,-0.0012462392352611145
2018-01-12,-0.0270769824650566,-0.0049226307660289,-0.0077820979176719,-0.0036753466168679,0.0,-0.0666666666666666,-0.0046512339156856,-0.0824373668553748,0.0,0.0102489604761342,-0.012765832276126,0.0,-0.0178548815017011,102337.3591680477,104327.81593078176,-0.019078869283093824
2018-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102337.3591680477,104327.81593078176,-0.019078869283093824
2018-01-16,0.0012649660819816,-0.0106007938291129,-0.0117646541695389,-0.0141406925141537,0.0,0.0714285714285714,-0.028037416597642,0.00195322017584,0.0,0.0,0.0,0.0,9.607191011752205e-05,102347.19091361934,104327.81593078176,-0.018984630316391318
2018-01-17,0.0107391752991998,0.0,0.0039682047722746,-0.0090427415475201,0.0,-0.0666666666666666,0.028846189222117,0.0,-0.0375000194245952,0.0,-0.008620677333593,0.0,-0.0048016166157987,101855.7589411482,104327.81593078176,-0.023695090015817866
