Date,JKH-N0000.CM,COMB-N0000.CM,HNB-N0000.CM,SAMP-N0000.CM,CCS-N0000.CM,AAF-N0000.CM,AAIC-N0000.CM,AHPL-N0000.CM,AFSL-N0000.CM,ALLI-N0000.CM,AEL-N0000.CM,CALF-N0000.CM
2018-01-02,0.010100719571063621,0.016200089034433596,0.0,0.007285457110209448,0.00010522264491430455,0.0714285714285714,-0.014285596673161205,-0.001893869274143034,0.0,0.0,0.0,0.0
2018-01-03,0.03666635810158292,-0.000724569709763756,0.0040162065758977405,0.03081758674160695,0.0,0.0,0.024154478908962496,0.024667830122820256,0.06060605545610254,0.0,0.0,0.0
2018-01-04,0.003215748909070948,0.01522847954833395,0.0019998321072072223,-0.0024403700447664933,0.0,-0.06666666666666665,0.0,0.005555508805378251,-0.06122449633621496,0.0075186104243289975,-0.008510627212645838,0.0
2018-01-05,0.02564110335791847,0.0035711844136228077,0.01756509331250533,0.003363753515336132,0.0,0.0,-0.009433973615355806,0.044198998838351766,0.0608695607646732,0.0,0.017167468896093663,0.0
2018-01-08,0.03125019085567371,0.0035589311837804782,0.0003922029088694323,0.00274294192985991,0.0,0.0,0.05238088104219085,0.0017636030911669653,0.0,0.0,0.008438699131375849,0.0
2018-01-09,-0.006666895280503016,0.007092257713820382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014925504096838349,-0.008368083393313519,-0.04347823214850555
2018-01-10,0.0006102453520959727,-0.0021128375284723555,-0.007843133954084092,-0.004863081763629262,0.0,0.0,-0.022624271033152343,-0.017605511025265752,0.0,0.0044118323207023025,-0.01687772114332875,0.0
2018-01-11,-0.009146367833293367,0.003528791651956187,0.015810269973419944,-0.0027490221166163176,0.0,0.0714285714285714,-0.004629634793229198,0.0,-0.016393407015267036,0.0,0.008583679710777004,0.0
2018-01-12,-0.02707698246505663,-0.004922630766028946,-0.007782097917671926,-0.0036753466168679694,0.0,-0.06666666666666665,-0.004651233915685671,-0.08243736685537484,0.0,0.010248960476134217,-0.012765832276126043,0.0
2018-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-16,0.0012649660819816777,-0.010600793829112942,-0.01176465416953898,-0.01414069251415373,0.0,0.0714285714285714,-0.02803741659764203,0.001953220175840098,0.0,0.0,0.0,0.0
2018-01-17,0.010739175299199877,0.0,0.003968204772274664,-0.009042741547520161,0.0,-0.06666666666666665,0.028846189222117014,0.0,-0.03750001942459524,0.0,-0.008620677333593063,0.0
2018-01-18,0.0,-0.027857264707860874,-0.00039524260996237626,-0.008810502868316195,-0.0210525422467448,0.0,0.0,0.05068205205085241,0.0,-0.014492877103666979,0.004347598013648257,0.0
2018-01-19,0.02500007387961567,0.004408579092096465,-0.0003953988884509707,0.002857087992377494,0.0,0.0,0.0,0.018553065899488574,0.0,-0.014706009491918692,0.008658108563973421,0.04545451406314016
2018-01-22,0.0048779282994417805,-0.004389228829647762,-0.011075925484288707,-0.002532448156151945,0.0,0.0,0.051401930429010534,0.0,0.00865803220067396,0.0,-0.004291730380848735,0.0
2018-01-23,0.003033989693578043,0.013960328327648597,0.0,0.00602989063554471,-0.0322580358343586,0.0,0.0,-0.020036623735432024,-0.0472102592106437,0.022388006870025512,-0.008620677333593063,0.0
2018-01-24,0.0018149446749371467,0.0,-0.0008001617876003397,0.023659297093402643,0.0,0.0,0.0,0.0,0.07657651444416147,0.0,0.004347598013648257,0.0
2018-01-25,0.001811751793430627,0.007246437871781808,0.0008008025592076695,-0.012943030877652473,0.0,-0.0714285714285714,0.0,-0.011152323641133277,0.0,0.0,-0.008657887719209167,0.0
2018-01-26,-0.0012054918518858981,0.0,-0.00680003968375098,0.0,0.0,0.0,-0.022222310399495404,0.01503760186128944,0.0,-0.021897759675961748,0.0043669177769698475,0.0
2018-01-29,-0.016294780756384464,0.0035972443251470754,-0.0012081721188567096,-0.0009365304943734776,0.0,0.0,0.01818196926479243,0.0,-0.07112965350511857,0.0,0.0,0.0
2018-01-30,0.01104293920910604,0.0014335570140280307,0.0,-0.005625185946302569,-0.00011140118806496346,0.07692307692307687,-0.017857288592451837,-0.011111096997850067,0.04054047123900073,0.0,0.008695639637113839,0.0
2018-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-01,-0.003033798419483036,-0.005010724395431598,0.0,0.005028434821811256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1739130386914176
2018-02-02,-0.02617176861726489,0.0035972443251470754,0.008064512251494627,0.010006184361990966,0.019669094717410296,0.0,0.059090916996413556,-0.016853951075518903,0.03030302772805138,0.01791052514813174,-0.004310558559596611,0.0
2018-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-06,-0.00937483069254752,0.0035841673383316675,-0.007999996184254732,-0.012384052530208134,0.0,-0.0714285714285714,-0.04721029703572488,0.009523783860716284,0.0,-0.016128986440096527,-0.004328778226031282,0.0
2018-02-07,-0.0063091658313843,0.005714114119267144,-0.004032400370150402,0.0031350564400172143,-0.019180419627367606,0.0,-0.004504573802755596,-0.01886795505093042,0.0,0.0014902362544173542,-0.00869575053956817,-0.13703705023664248
2018-02-08,0.005079139144155587,0.014452518747107845,0.0,0.013437339451801922,0.0,0.07692307692307687,-0.022624271033152343,0.01923080093863394,0.021008378064371058,0.011904845932697361,0.008772029923508562,0.0
2018-02-09,0.0012636666564447285,-0.014285714285714235,-0.004048629903938172,-0.013259171463990693,0.0,0.0,0.0,0.0,-0.09876538024125314,0.007352759136570963,-0.00869575053956817,0.0
2018-02-12,-0.018954345854613197,-0.010144854929064584,0.004065087940536394,-0.00031266560483433903,0.0,0.0,0.0,-0.009433937082982347,0.0,0.0,0.008772029923508562,0.0
2018-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-14,0.0,-0.01756965485826789,-0.01619422995893438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-15,0.01674176397692806,0.020864419630574504,0.0,-0.005939267249294833,0.0,0.0,0.06481469028094233,0.020952340824635263,0.0867579552609703,-0.00875886980638807,-0.01739139017668201,0.07296144615473876
2018-02-16,0.0006333342571327449,-0.007299452915859206,0.0,0.02955972454779321,0.0,0.0,-0.00869560127492841,0.0,0.0,0.0014726781214420281,0.013274318304636212,0.0
2018-02-19,0.0,0.0,-0.004115273590811763,0.007330486015464155,0.00011105664830801665,0.0,-0.013157848120565196,-0.07276106480917921,-0.012604993848597368,-0.010293980683705795,-0.008733724167183543,0.0
2018-02-20,0.006329234359805147,0.006617758790110173,-0.008264361005011378,-0.0003031606856541691,0.04988324270073097,0.0,0.0,0.0,-0.04255322170159248,0.03863277924602615,0.004405393266608382,0.0159999076238857
2018-02-21,0.0050313238794090775,0.015339738301607175,0.012499944105294647,0.0006065052398527282,0.0065609129976822445,0.0,0.022222121448195686,0.020120668115070517,0.0,-0.018597901018524987,-0.013157877072321966,0.0
2018-02-22,-0.005006136385867221,0.007194244604316502,-0.004115273590811763,-0.0012124179161893123,0.0,0.0,-0.01739120254985682,0.0,0.0,0.020408085755212246,0.0,0.0
2018-02-23,0.006289229099923466,-0.0071428571428571175,0.0,0.007587203228657913,0.0,-0.0714285714285714,0.0,0.00394479619032162,-0.026666651545016906,-0.014285552043163396,-0.004444665132131487,0.0
2018-02-26,-0.0025000868222343486,0.0,0.0,0.0060240993749896,-0.0019974759345551263,0.07692307692307687,-0.004424783755271444,0.031434114683829506,0.07762560024379472,0.014492586643904959,-0.008928219642060475,0.0
2018-02-27,0.0025063529221469594,0.003597212408175121,0.0,-0.0059880269058485425,0.0,0.0,0.01777767196504998,0.003809627861701692,0.0,0.022857112317368644,-0.004504727574054956,0.0
