Date,JKH-N0000.CM,COMB-N0000.CM,HNB-N0000.CM,SAMP-N0000.CM,CCS-N0000.CM,AAF-N0000.CM,AAIC-N0000.CM,AHPL-N0000.CM,AFSL-N0000.CM,ALLI-N0000.CM,AEL-N0000.CM,CALF-N0000.CM
2018-01-01,143.76834106445312,81.08023834228516,159.3162078857422,51.167667388916016,70.11441802978516,14.0,14.13214874267578,46.98403930664063,22.44618034362793,37.97238540649414,17.572311401367188,17.324193954467773
2018-01-02,145.2205047607422,82.39374542236328,159.3162078857422,51.54044723510742,70.12179565429688,15.0,13.930262565612791,46.895057678222656,22.44618034362793,37.97238540649414,17.572311401367188,17.324193954467773
2018-01-03,150.5452117919922,82.33404541015625,159.9560546875,53.12879943847656,70.12179565429688,15.0,14.266740798950195,48.051856994628906,23.806554794311523,37.97238540649414,17.572311401367188,17.324193954467773
2018-01-04,151.02932739257812,83.5878677368164,160.27593994140625,52.9991455078125,70.12179565429688,14.0,14.266740798950195,48.318809509277344,22.349010467529297,38.25788497924805,17.422760009765625,17.324193954467773
2018-01-05,154.90188598632812,83.8863754272461,163.09120178222656,53.17742156982422,70.12179565429688,14.0,14.13214874267578,50.45445251464844,23.70938491821289,38.25788497924805,17.721864700317383,17.324193954467773
2018-01-08,159.7425994873047,84.18492126464844,163.15516662597656,53.32328414916992,70.12179565429688,14.0,14.872403144836426,50.543434143066406,23.70938491821289,38.25788497924805,17.871414184570312,17.324193954467773
2018-01-09,158.6776123046875,84.781982421875,163.15516662597656,53.32328414916992,70.12179565429688,14.0,14.872403144836426,50.543434143066406,23.70938491821289,38.82890319824219,17.721864700317383,16.570968627929688
2018-01-10,158.77444458007812,84.60285186767578,161.87551879882812,53.06396865844727,70.12179565429688,14.0,14.53592586517334,49.65359115600586,23.70938491821289,39.00020980834961,17.422760009765625,16.570968627929688
2018-01-11,157.32223510742188,84.90139770507812,164.434814453125,52.918094635009766,70.12179565429688,15.0,14.468629837036133,49.65359115600586,23.320707321166992,39.00020980834961,17.572311401367188,16.570968627929688
2018-01-12,153.0624237060547,84.48345947265625,163.15516662597656,52.72360229492188,70.12179565429688,14.0,14.40133285522461,45.560279846191406,23.320707321166992,39.39992141723633,17.347986221313477,16.570968627929688
2018-01-15,153.0624237060547,84.48345947265625,163.15516662597656,52.72360229492188,70.12179565429688,14.0,14.40133285522461,45.560279846191406,23.320707321166992,39.39992141723633,17.347986221313477,16.570968627929688
2018-01-16,153.25604248046875,83.5878677368164,161.23570251464844,51.97805404663086,70.12179565429688,15.0,13.997556686401367,45.64926910400391,23.320707321166992,39.39992141723633,17.347986221313477,16.570968627929688
2018-01-17,154.90188598632812,83.5878677368164,161.87551879882812,51.50802993774414,70.12179565429688,14.0,14.40133285522461,45.64926910400391,22.44618034362793,39.39992141723633,17.198434829711914,16.570968627929688
2018-01-18,154.90188598632812,81.25933837890625,161.81153869628906,51.05421829223633,68.64555358886719,14.0,14.40133285522461,47.962867736816406,22.44618034362793,38.82890319824219,17.27320671081543,16.570968627929688
2018-01-19,158.77444458007812,81.6175765991211,161.74755859375,51.2000846862793,68.64555358886719,14.0,14.40133285522461,48.852725982666016,22.44618034362793,38.25788497924805,17.422760009765625,17.324193954467773
2018-01-22,159.54893493652344,81.25933837890625,159.9560546875,51.0704231262207,68.64555358886719,14.0,15.141589164733888,48.852725982666016,22.640520095825195,38.25788497924805,17.347986221313477,17.324193954467773
2018-01-23,160.0330047607422,82.39374542236328,159.9560546875,51.37837219238281,66.43118286132812,14.0,15.141589164733888,47.87388229370117,21.5716552734375,39.114402770996094,17.198434829711914,17.324193954467773
2018-01-24,160.32345581054688,82.39374542236328,159.82806396484375,52.59394836425781,66.43118286132812,14.0,15.141589164733888,47.87388229370117,23.22353744506836,39.114402770996094,17.27320671081543,17.324193954467773
2018-01-25,160.61392211914062,82.99080657958984,159.9560546875,51.91322326660156,66.43118286132812,13.0,15.141589164733888,47.3399772644043,23.22353744506836,39.114402770996094,17.1236572265625,17.324193954467773
2018-01-26,160.42030334472656,82.99080657958984,158.86834716796875,51.91322326660156,66.43118286132812,13.0,14.805108070373535,48.051856994628906,23.22353744506836,38.25788497924805,17.198434829711914,17.324193954467773
2018-01-29,157.80628967285156,83.28934478759766,158.67640686035156,51.86460494995117,66.43118286132812,13.0,15.074294090270996,48.051856994628906,21.5716552734375,38.25788497924805,17.198434829711914,17.324193954467773
