Asset,Contribution
ALLI-N0000.CM,0.6065442761888585
AAIC-N0000.CM,0.4594791961903342
CALF-N0000.CM,0.30114141272794903
AAF-N0000.CM,0.2519999912807
AFSL-N0000.CM,0.22969463802772663
COMB-N0000.CM,0.22315316077416444
SAMP-N0000.CM,0.19846341358132663
HNB-N0000.CM,0.18311380184193402
AEL-N0000.CM,0.12867444875432538
CCS-N0000.CM,0.04864686398977904
AHPL-N0000.CM,0.0204596469280807
JKH-N0000.CM,-0.1264203994278488
