2026-07-04 12:07:14,400 | INFO | Portfolio Optimization Project Started
2026-07-04 12:07:14,401 | INFO | Configuration loaded successfully.
2026-07-04 12:33:03,719 | INFO | ============================================================
2026-07-04 12:33:03,719 | INFO | STARTING DOWNLOAD
2026-07-04 12:33:03,719 | INFO | ============================================================
2026-07-04 12:33:03,719 | INFO | Downloading AAPL
2026-07-04 12:33:08,131 | INFO | AAPL: Downloaded 2136 rows.
2026-07-04 12:33:08,131 | INFO | Downloading MSFT
2026-07-04 12:33:08,844 | INFO | MSFT: Downloaded 2136 rows.
2026-07-04 12:33:08,845 | INFO | Downloading NVDA
2026-07-04 12:33:09,568 | INFO | NVDA: Downloaded 2136 rows.
2026-07-04 12:33:09,568 | INFO | Downloading GOOGL
2026-07-04 12:33:10,287 | INFO | GOOGL: Downloaded 2136 rows.
2026-07-04 12:33:10,287 | INFO | Downloading ^GSPC
2026-07-04 12:33:10,996 | INFO | ^GSPC: Downloaded 2136 rows.
2026-07-04 12:33:10,997 | INFO | Downloading JKH-N0000.CM
2026-07-04 12:33:11,893 | INFO | JKH-N0000.CM: Downloaded 2187 rows.
2026-07-04 12:33:11,893 | INFO | Downloading COMB-N0000.CM
2026-07-04 12:33:12,740 | INFO | COMB-N0000.CM: Downloaded 2187 rows.
2026-07-04 12:33:12,741 | INFO | Downloading HNB-N0000.CM
2026-07-04 12:33:13,631 | INFO | HNB-N0000.CM: Downloaded 2190 rows.
2026-07-04 12:33:13,632 | INFO | Downloading SAMP-N0000.CM
2026-07-04 12:33:14,401 | INFO | SAMP-N0000.CM: Downloaded 2187 rows.
2026-07-04 12:33:14,402 | INFO | Downloading CCS-N0000.CM
2026-07-04 12:33:15,222 | INFO | CCS-N0000.CM: Downloaded 2188 rows.
2026-07-04 12:33:15,222 | INFO | Downloading LKR=X
2026-07-04 12:33:16,135 | INFO | LKR=X: Downloaded 2214 rows.
2026-07-04 12:33:16,135 | INFO | ============================================================
2026-07-04 12:33:16,135 | INFO | DOWNLOAD COMPLETE
2026-07-04 12:33:16,135 | INFO | ============================================================
2026-07-04 12:33:16,135 | INFO | Successful: 11
2026-07-04 12:33:16,136 | INFO | Failed: 0
2026-07-04 12:33:16,136 | INFO | Validating downloaded files...
2026-07-04 12:33:16,156 | INFO | AAPL.csv -> FAIL
2026-07-04 12:33:16,156 | WARNING | Dates not sorted
2026-07-04 12:33:16,156 | WARNING | '<=' not supported between instances of 'str' and 'int'
2026-07-04 12:33:16,169 | INFO | CCS-N0000.CM.csv -> FAIL
